BOTSWANA,BOTSWANA,FRANCISTOWN,0
EASTERN CAPE,ELLIOTDALE,ELLIOTDALE,5460
EASTERN CAPE,ELLIOTDALE,THE HAVEN,5072
EASTERN CAPE,ENGCOBO,COGHLAN,5054
EASTERN CAPE,ENGCOBO,ENGCOBO,5050
EASTERN CAPE,EZIBELENI,EZIBELENI,5326
EASTERN CAPE,FLAGSTAFF,FLAGSTAFF,4810
EASTERN CAPE,FLAGSTAFF,HOLY CROSS,4811
EASTERN CAPE,FLAGSTAFF,PALMERTON,4821
EASTERN CAPE,FORT BEAUFORT,AANDRUS,5720
EASTERN CAPE,FORT BEAUFORT,FORT BEAUFORT,5720
EASTERN CAPE,FORT BEAUFORT,HEALDTOWN,5730
EASTERN CAPE,FORT BEAUFORT,NEWTOWN,5720
EASTERN CAPE,GAMBLEVILLE,GAMBLEVILLE,6241
EASTERN CAPE,GAMBLEVILLE,GERALD SMITH,6241
EASTERN CAPE,GAMBLEVILLE,MCNAUGHTON,6241
EASTERN CAPE,GAMBLEVILLE,ROSEDALE,6241
EASTERN CAPE,GRAAFF REINET,ACASIA,6280
EASTERN CAPE,GRAAFF REINET,ASHERVILLE,6280
EASTERN CAPE,GRAAFF REINET,GRAAFF REINET,6280
EASTERN CAPE,GRAAFF REINET,KENDREW,6283
EASTERN CAPE,GRAAFF REINET,KROONVALE,6280
EASTERN CAPE,GRAAFF REINET,NCANARA,6280
EASTERN CAPE,GRAAFF REINET,NOORDHEUWEL,6285
EASTERN CAPE,GRAAFF REINET,SANTAVILLE,6280
EASTERN CAPE,GRAAFF REINET,SPANDAUVILLE,6280
EASTERN CAPE,GRAAFF REINET,SUNNYSIDE,6280
EASTERN CAPE,GRAHAMSTOWN,CENTRAL,6140
EASTERN CAPE,GRAHAMSTOWN,CRADOCK HEIGHTS,6140
EASTERN CAPE,GRAHAMSTOWN,CURRIE PARK,6140
EASTERN CAPE,GRAHAMSTOWN,FORT ENGLAND,6140
